rank,domain,title,has_iso_27001,has_soc_2,has_csa_star,total_claimed_attestations,attestation_audit_status,pages_inspected,attestation_evidence,score_tls_transport,score_dns_email,score_http_headers,score_pki_cert,d_vpf_technical_score,dmarc_policy,hsts_present,csp_present,tls_validation_status,cert_lifespan_days,cert_max_allowed_days,key_type,key_bits,http_probe_status,dns_probe_status
829,deepl.com,"DeepL AI Platform: Translation, Voice & API",0,1,0,1,observed,https://www.deepl.com/en;https://www.deepl.com/en/pro-data-security,https://www.deepl.com/en/pro-data-security,20,10,20,25,75,None,True,True,verified,90,200,EC-secp256r1,256,observed,observed
834,liftoff.io,The Leading Growth Acceleration Platform for the Mobile Industry.,0,0,0,0,observed,https://liftoff.ai/;https://liftoff.ai/privacy-policy/,,15,5,0,25,45,None,False,False,verified,90,200,EC-secp256r1,256,observed,observed
835,blackberry.com,BlackBerry | Secure Communications and QNX,1,1,0,2,observed,https://www.blackberry.com/en;https://www.blackberry.com/en;https://www.blackberry.com/en/secure-communications/ccoe;https://www.blackberry.com/en/report-an-issue;https://www.blackberry.com/en/legal/privacy-notice,https://www.blackberry.com/en/legal/privacy-notice,20,5,15,25,65,None,True,True,verified,198,200,RSA,2048,observed,observed
839,odoo.com,Open Source ERP and CRM | Odoo,1,1,1,3,observed,https://www.odoo.com/;https://www.odoo.com/security;https://www.odoo.com/industries/audit-certification;https://www.odoo.com/slides;https://www.odoo.com/privacy,https://www.odoo.com/privacy;https://www.odoo.com/security,18,10,10,25,63,None,True,False,verified,89,200,RSA,2048,observed,observed
853,auvik.com,Auvik Networks: Best Network Management Software Solution,0,1,0,1,observed,https://www.auvik.com/;https://www.auvik.com/system-security/;https://trust.auvik.com/;https://www.auvik.com/network-management-software/network-security-and-visibility/;https://www.auvik.com/customer-training-sessions-and-certification/;https://trust.auvik.com/,https://www.auvik.com/network-management-software/network-security-and-visibility/,20,5,25,25,75,None,True,True,verified,90,200,EC-secp256r1,256,observed,observed
862,jetbrains.com,JetBrains: Essential tools for software developers and teams,0,1,0,1,observed,https://www.jetbrains.com/,https://www.jetbrains.com/,18,5,10,25,58,None,True,False,verified,197,200,RSA,2048,observed,observed
898,readthedocs.io,Full featured documentation deployment platform - Read the Docs,0,0,0,0,observed,https://about.readthedocs.com/;https://about.readthedocs.com/;https://about.readthedocs.com/;https://about.readthedocs.com/;https://about.readthedocs.com/;https://about.readthedocs.com/;https://about.readthedocs.com/;https://about.readthedocs.com/;https://about.readthedocs.com/;https://about.readthedocs.com/privacy-policy/;https://trust.readthedocs.io/en/latest/;https://security.readthedocs.io/en/latest/,,15,5,10,25,55,None,False,False,verified,90,200,EC-secp256r1,256,observed,observed
903,agora.io,Real-Time Engagement & Conversational AI Platform | Agora,1,1,0,2,observed,https://www.agora.io/en/;https://www.agora.io/en/;https://www.agora.io/en/;https://www.agora.io/en/;https://www.agora.io/en/;https://www.agora.io/en/;https://www.agora.io/en/;https://www.agora.io/en/;https://www.agora.io/en/;https://www.agora.io/en/compliance/,https://www.agora.io/en/compliance/;https://www.agora.io/en/,20,10,20,25,75,None,True,True,verified,198,200,RSA,2048,observed,observed
940,netlify.app,Push your ideas to the web | Netlify,1,1,0,2,observed,https://www.netlify.com/;https://www.netlify.com/security/;https://compliance.netlify.app/,https://www.netlify.com/security/,20,10,0,25,55,None,True,False,verified,396,398,EC-secp256r1,256,observed,observed
954,tailscale.com,"Tailscale | Secure Connectivity for AI, IoT & Multi-Cloud",0,1,0,1,observed,https://tailscale.com/;https://tailscale.com/security;https://tailscale.com/legal;https://tailscale.com/use-cases/zero-trust-networking;https://tailscale.com/privacy-policy;https://tailscale.com/privacy-policy,https://tailscale.com/security,18,10,15,25,68,None,True,True,verified,89,200,RSA,2048,observed,observed
